"","ISO","year","best","armconf1"
"1134","FSM",2013,NA,NA
"1135","FSM",2014,NA,NA
"1136","FSM",2015,NA,NA
"1137","FSM",2016,NA,NA
"1138","FSM",2017,NA,NA
"1139","FSM",2018,NA,NA
"1140","FSM",2019,NA,NA
"1141","FJI",2000,NA,NA
"1142","FJI",2001,NA,NA
"1143","FJI",2002,NA,NA
"1144","FJI",2003,NA,NA
"1145","FJI",2004,NA,NA
"1146","FJI",2005,NA,NA
"1147","FJI",2006,NA,NA
"1148","FJI",2007,NA,NA
"1149","FJI",2008,NA,NA
"1150","FJI",2009,NA,NA
"1151","FJI",2010,NA,NA
"1152","FJI",2011,NA,NA
"1153","FJI",2012,NA,NA
"1154","FJI",2013,NA,NA
"1155","FJI",2014,NA,NA
"1156","FJI",2015,NA,NA
"1157","FJI",2016,NA,NA
"1158","FJI",2017,NA,NA
"1159","FJI",2018,NA,NA
"1160","FJI",2019,NA,NA
"1161","FIN",2000,NA,NA
"1162","FIN",2001,NA,NA
"1163","FIN",2002,NA,NA
"1164","FIN",2003,NA,NA
"1165","FIN",2004,NA,NA
"1166","FIN",2005,NA,NA
"1167","FIN",2006,NA,NA
"1168","FIN",2007,NA,NA
"1169","FIN",2008,NA,NA
"1170","FIN",2009,NA,NA
"1171","FIN",2010,NA,NA
"1172","FIN",2011,NA,NA
"1173","FIN",2012,NA,NA
"1174","FIN",2013,NA,NA
"1175","FIN",2014,NA,NA
"1176","FIN",2015,NA,NA
"1177","FIN",2016,NA,NA
"1178","FIN",2017,NA,NA
"1179","FIN",2018,NA,NA
"1180","FIN",2019,NA,NA
"1181","FRA",2000,NA,NA
"1182","FRA",2001,NA,NA
"1183","FRA",2002,NA,NA
"1184","FRA",2003,NA,NA
"1185","FRA",2004,NA,NA
"1186","FRA",2005,NA,NA
"1187","FRA",2006,NA,NA
"1188","FRA",2007,2,1
"1189","FRA",2008,NA,NA
"1190","FRA",2009,NA,NA
"1191","FRA",2010,NA,NA
"1192","FRA",2011,NA,NA
"1193","FRA",2012,4,1
"1194","FRA",2013,NA,NA
"1195","FRA",2014,NA,NA
"1196","FRA",2015,3,1
"1197","FRA",2016,86,1
