"","Year","ISO","drought","earthquake"
"457",2015,"BWA",1,0
"458",2015,"CHL",0,1
"459",2015,"CHN",1,1
"460",2015,"COD",0,1
"461",2015,"COL",1,1
"462",2015,"CUB",1,0
"463",2015,"ETH",1,0
"464",2015,"FJI",1,0
"465",2015,"GMB",1,0
"466",2015,"IDN",1,1
"467",2015,"IND",1,1
"468",2015,"KGZ",0,1
"469",2015,"MHL",1,0
"470",2015,"MWI",1,0
"471",2015,"MYS",0,1
"472",2015,"NAM",1,0
"473",2015,"NER",1,0
"474",2015,"NPL",0,1
"475",2015,"PAK",0,1
"476",2015,"PAN",1,0
"477",2015,"PHL",1,0
"478",2015,"PLW",1,0
"479",2015,"PNG",1,0
"480",2015,"PRK",1,0
"481",2015,"SDN",1,0
"482",2015,"SLB",1,0
"483",2015,"SOM",1,0
"484",2015,"THA",1,0
"485",2015,"TJK",0,1
"486",2015,"TLS",0,1
"487",2015,"TON",1,0
"488",2015,"USA",1,0
"489",2015,"VNM",1,0
"490",2015,"WSM",1,0
"491",2015,"ZAF",1,0
"492",2016,"BGD",0,1
"493",2016,"BOL",1,0
"494",2016,"CHN",1,1
"495",2016,"ECU",0,1
"496",2016,"FSM",1,0
"497",2016,"HTI",1,0
"498",2016,"IDN",0,1
"499",2016,"IND",0,1
"500",2016,"ITA",0,1
"501",2016,"JPN",0,1
"502",2016,"KEN",1,0
"503",2016,"KHM",1,0
"504",2016,"KOR",0,1
"505",2016,"LKA",1,0
"506",2016,"LSO",1,0
"507",2016,"MDG",1,0
"508",2016,"MKD",0,1
"509",2016,"MMR",0,1
"510",2016,"MOZ",1,0
"511",2016,"NZL",0,1
"512",2016,"PAK",0,1
"513",2016,"PER",0,1
"514",2016,"PHL",0,1
"515",2016,"PRY",1,0
"516",2016,"SLB",0,1
"517",2016,"SSD",1,0
"518",2016,"SWZ",1,0
"519",2016,"TJK",0,1
"520",2016,"TLS",1,0
"521",2016,"TWN",0,1
"522",2016,"TZA",0,1
"523",2016,"UGA",0,1
"524",2016,"USA",0,1
"525",2017,"AGO",1,0
"526",2017,"CHN",1,1
"527",2017,"CPV",1,0
"528",2017,"GRC",0,1
"529",2017,"GTM",0,1
"530",2017,"IDN",0,1
"531",2017,"IRN",0,1
"532",2017,"IRQ",0,1
"533",2017,"ITA",1,1
"534",2017,"KGZ",0,1
"535",2017,"KOR",0,1
"536",2017,"MDG",1,0
"537",2017,"MEX",0,1
"538",2017,"MRT",1,0
"539",2017,"NER",1,0
"540",2017,"PHL",0,1
"541",2017,"PRK",1,0
"542",2017,"TCD",1,0
"543",2017,"TUR",0,1
"544",2017,"USA",1,0
"545",2017,"ZAF",1,0
"546",2017,"ZWE",1,0
"547",2018,"AFG",1,0
"548",2018,"ARG",1,0
"549",2018,"AUS",1,0
"550",2018,"CHN",0,1
"551",2018,"CRI",1,0
"552",2018,"GTM",1,0
"553",2018,"HND",1,0
"554",2018,"HTI",0,1
"555",2018,"IDN",0,1
"556",2018,"IND",1,0
"557",2018,"IRN",0,1
"558",2018,"JPN",0,1
"559",2018,"LTU",1,0
"560",2018,"MEX",0,1
"561",2018,"MRT",1,0
"562",2018,"NAM",1,0
"563",2018,"NIC",1,0
"564",2018,"PAN",1,0
"565",2018,"PER",0,1
"566",2018,"PNG",0,1
"567",2018,"POL",1,0
"568",2018,"SEN",1,0
"569",2018,"SLV",1,1
"570",2018,"TWN",0,1
"571",2018,"URY",1,0
"572",2018,"USA",1,0
"573",2019,"ALB",0,1
"574",2019,"ARG",1,0
"575",2019,"BWA",1,0
"576",2019,"CHL",0,1
"577",2019,"CHN",0,1
"578",2019,"ECU",0,1
"579",2019,"FRA",0,1
